Link,Total_Clicks,Unique_Clicks,Net_CTR,Name,LinkPlacement,Date,PctUniqueClicks,PctTotalClicks,DeliverabilityRate,Job ID,Date/Time Sent,Status,Emails Sent,Unique Click-Through Rate,Open Rate,Deliverability Rate
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=feb813707c6c0d7b&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 03,17,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://usm.maine.edu,0,0,0,FY20 Adult App Gen - Email 03,18,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://view.e-usm.maine.edu/?j=feb813707c6c0d7b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 03,19,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://view.e-usm.maine.edu/ftaf.aspx?j=feb813707c6c0d7b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 03,20,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=feb813707c6c0d7b&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 03,21,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://instagram.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 03,22,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://youtube.com/user/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 03,23,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://linkedin.com/edu/school?id=18589,0,0,0,FY20 Adult App Gen - Email 03,24,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
http://facebook.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 03,25,NA,NA,NA,NA,709896,11/13/2019 18:01,Complete,1212,0.022,0.156,0.995
https://usm.maine.edu/apply,7,7,0.006,FY20 Adult App Gen - Email 02,1,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
https://usm.maine.edu/office-of-admissions/prior-learning-assessment,7,5,0.004,FY20 Adult App Gen - Email 02,2,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
"https://usm.secure.force.com/events#/list?cid=%%ContactId%%&keyword=Adult+Student,Transfer+Student",3,3,0.003,FY20 Adult App Gen - Email 02,3,NA,NA,NA,NA,673027,10/16/2019 18:01,Complete,1140,0.019,0.145,0.997
