Link,UniqueClicks,PctUniqClicks,TotalClicks,PctTotal Clicks,NetCTR,EmailNumber,LinkPlacement,Date
https://youtube.com/user/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email8B,Email8B Link_Number 23,11/21/2019
Totals,280,,312,,,Email8B,Email8B Link_Number 24,11/21/2019
,NA,,NA,,,Email8B,Email8B Link_Number 25,11/21/2019
https://usm.maine.edu/apply,70,13.06%,83,12.52%,1.64%,Email8BB,Email8BB Link_Number 1,11/21/2019
https://usm.maine.edu/office-of-admissions/video-ashley-howe,65,12.13%,65,9.80%,1.53%,Email8BB,Email8BB Link_Number 2,11/21/2019
https://usm.maine.edu/meet-our-faculty,60,11.19%,70,10.56%,1.41%,Email8BB,Email8BB Link_Number 3,11/21/2019
http://usm.maine.edu,60,11.19%,69,10.41%,1.41%,Email8BB,Email8BB Link_Number 4,11/21/2019
https://usm.maine.edu/advising,59,11.01%,69,10.41%,1.39%,Email8BB,Email8BB Link_Number 5,11/21/2019
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,59,11.01%,59,8.90%,1.39%,Email8BB,Email8BB Link_Number 6,11/21/2019
https://usm.maine.edu/visit#virtualtour,40,7.46%,42,6.34%,0.94%,Email8BB,Email8BB Link_Number 7,11/21/2019
http://twitter.com/USouthernMaine,38,7.09%,77,11.61%,0.89%,Email8BB,Email8BB Link_Number 8,11/21/2019
http://instagram.com/USouthernMaine,37,6.90%,68,10.26%,0.87%,Email8BB,Email8BB Link_Number 9,11/21/2019
http://facebook.com/USouthernMaine,36,6.72%,36,5.43%,0.85%,Email8BB,Email8BB Link_Number 10,11/21/2019
Unsubscribe,7,1.31%,19,2.87%,0.16%,Email8BB,Email8BB Link_Number 11,11/21/2019
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fecc13727664017f&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,0.19%,2,0.30%,0.02%,Email8BB,Email8BB Link_Number 12,11/21/2019
http://linkedin.com/edu/school?id=18589,1,0.19%,1,0.15%,0.02%,Email8BB,Email8BB Link_Number 13,11/21/2019
http://usm.maine.edu/high-school-students,1,0.19%,1,0.15%,0.02%,Email8BB,Email8BB Link_Number 14,11/21/2019
http://view.e-usm.maine.edu/?j=fecc13727664017f&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,0.19%,1,0.15%,0.02%,Email8BB,Email8BB Link_Number 15,11/21/2019
http://youtube.com/user/USouthernMaine,1,0.19%,1,0.15%,0.02%,Email8BB,Email8BB Link_Number 16,11/21/2019
