Link,Total,Unique,Net CTRs,Email Name
https://twitter.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 04
https://www.instagram.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 04
https://www.youtube.com/user/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 04
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY20 Adult App Gen - Email 04
https://usm.maine.edu/research/community,0,0,0,FY20 Adult App Gen - Email 04
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,0,0,0,FY20 Adult App Gen - Email 04
http://usm.maine.edu,0,0,0,FY20 Adult App Gen - Email 04
https://usm.maine.edu/apply,11,10,0.008,FY20 Adult App Gen - Email 05
Unsubscribe,14,6,0.005,FY20 Adult App Gen - Email 05
http://usm.maine.edu,6,5,0.004,FY20 Adult App Gen - Email 05
https://usm.maine.edu/office-of-admissions/location-and-hours,5,5,0.004,FY20 Adult App Gen - Email 05
"https://usm.secure.force.com/events#/list?cid=%%ContactId%%&k=%%AccessKey%%&keyword=Adult+Student,Transfer+Student",3,3,0.002,FY20 Adult App Gen - Email 05
https://usm.maine.edu/learningcommons/building-technology-skills,2,2,0.002,FY20 Adult App Gen - Email 05
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,2,2,0.002,FY20 Adult App Gen - Email 05
http://view.e-usm.maine.edu/?j=fec213797361067d&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,2,2,0.002,FY20 Adult App Gen - Email 05
https://www.youtube.com/user/USouthernMaine,1,1,0.001,FY20 Adult App Gen - Email 05
https://www.linkedin.com/school/university-of-southern-maine,1,1,0.001,FY20 Adult App Gen - Email 05
http://usm.maine.edu/undergraduate,1,1,0.001,FY20 Adult App Gen - Email 05
https://www.bls.gov/careeroutlook/2018/data-on-display/education-pays.htm,1,1,0.001,FY20 Adult App Gen - Email 05
https://facebook.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05
https://twitter.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05
https://instagram.com/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05
https://youtube.com/user/usouthernmaine,0,0,0,FY20 Adult App Gen - Email 05
https://usm.maine.edu/undergraduate,0,0,0,FY20 Adult App Gen - Email 05
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec213797361067d&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 05
http://view.e-usm.maine.edu/ftaf.aspx?j=fec213797361067d&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 05
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec213797361067d&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 05
https://www.facebook.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 05
https://twitter.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 05
https://www.instagram.com/USouthernMaine,0,0,0,FY20 Adult App Gen - Email 05
https://usm.maine.edu/apply,9,8,0.006,FY20 Adult App Gen - Email 06
https://usm.maine.edu/office-of-admissions/video-claire-owens,2,2,0.002,FY20 Adult App Gen - Email 06
https://usm.maine.edu/office-of-admissions/location-and-hours,2,2,0.002,FY20 Adult App Gen - Email 06
https://usm.maine.edu/visit#virtualtour,1,1,0.001,FY20 Adult App Gen - Email 06
http://usm.maine.edu/undergraduate,1,1,0.001,FY20 Adult App Gen - Email 06
Unsubscribe,4,1,0.001,FY20 Adult App Gen - Email 06
https://usm.maine.edu/undergraduate,0,0,0,FY20 Adult App Gen - Email 06
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=feb91c737c630c7e&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 06
https://usm.secure.force.com/events#/list?cid=%%ContactId%%&k=%%AccessKey%%&type=Adult+and+Transfer+Students,0,0,0,FY20 Adult App Gen - Email 06
http://usm.maine.edu,0,0,0,FY20 Adult App Gen - Email 06
http://view.e-usm.maine.edu/?j=feb91c737c630c7e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY20 Adult App Gen - Email 06
http://view.e-usm.maine.edu/ftaf.aspx?j=feb91c737c630c7e&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY20 Adult App Gen - Email 06
